;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Status Quo;;FW-Szenario 1 - Nur Versorgung der Altstadt;;;;;;;FW-Szenario 2  - Versorgung von Altstadt & Zusmmenschluss WHHW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;26;23;49;;417;538;655;765;871;972;;417;538;764;1.281;1.481;1.672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;26;24;63;;440;566;687;801;911;1.015;;440;566;799;1.335;1.543;1.741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;1;59;;453;583;707;825;938;1.045;;453;583;823;1.375;1.589;1.793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;2;73;;467;600;729;850;966;1.077;;467;600;848;1.417;1.637;1.847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;3;81;;491;629;760;885;1.004;1.118;;491;629;883;1.467;1.693;1.909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;4;88;;516;657;792;920;1.042;1.159;;516;657;918;1.517;1.749;1.970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;5;91;;530;674;812;943;1.069;1.188;;530;674;941;1.555;1.792;2.019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;6;146;;535;682;824;958;1.086;1.209;;535;682;956;1.584;1.827;2.059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;7;208;;524;674;819;956;1.087;1.212;;524;674;953;1.594;1.842;2.079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;8;254;;536;690;838;978;1.112;1.240;;536;690;976;1.632;1.886;2.129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;9;229;;561;719;871;1.015;1.153;1.284;;561;719;1.013;1.687;1.948;2.197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;10;215;;564;727;884;1.032;1.173;1.309;;564;727;1.029;1.723;1.991;2.247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;11;207;;579;746;906;1.057;1.202;1.340;;579;746;1.054;1.764;2.038;2.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;12;206;;602;772;934;1.088;1.236;1.376;;602;772;1.086;1.807;2.086;2.353;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;13;207;;624;796;961;1.117;1.266;1.409;;624;796;1.114;1.846;2.129;2.399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;14;208;;647;820;987;1.144;1.295;1.439;;647;820;1.142;1.880;2.165;2.438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;15;201;;659;833;1.000;1.158;1.310;1.455;;659;833;1.156;1.898;2.184;2.458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;16;197;;662;836;1.004;1.163;1.314;1.460;;662;836;1.160;1.904;2.191;2.466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;17;193;;662;836;1.004;1.162;1.314;1.459;;662;836;1.160;1.903;2.190;2.464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;18;175;;658;832;1.000;1.158;1.310;1.455;;658;832;1.156;1.898;2.185;2.460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;19;190;;642;816;984;1.142;1.294;1.439;;642;816;1.140;1.883;2.170;2.444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;20;200;;644;819;986;1.145;1.297;1.442;;644;819;1.142;1.886;2.173;2.448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;21;215;;648;823;990;1.149;1.301;1.446;;648;823;1.146;1.890;2.177;2.452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;22;212;;652;827;994;1.152;1.304;1.449;;652;827;1.150;1.892;2.179;2.453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;23;193;;657;831;998;1.156;1.307;1.451;;657;831;1.153;1.893;2.179;2.453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;27;24;186;;657;830;996;1.153;1.304;1.448;;657;830;1.151;1.887;2.172;2.444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;1;187;;655;828;993;1.149;1.299;1.442;;655;828;1.147;1.880;2.164;2.435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;2;190;;657;828;992;1.148;1.297;1.439;;657;828;1.145;1.875;2.157;2.427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;3;198;;654;825;988;1.143;1.291;1.433;;654;825;1.140;1.866;2.146;2.414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;4;199;;652;821;984;1.138;1.285;1.426;;652;821;1.135;1.857;2.135;2.402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;5;202;;649;817;979;1.132;1.278;1.418;;649;817;1.130;1.847;2.124;2.389;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;6;242;;647;814;975;1.127;1.273;1.412;;647;814;1.125;1.838;2.114;2.378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;7;328;;650;817;977;1.128;1.273;1.412;;650;817;1.126;1.836;2.110;2.373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;8;390;;651;816;975;1.126;1.270;1.408;;651;816;1.124;1.829;2.102;2.363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;9;377;;631;796;954;1.104;1.247;1.384;;631;796;1.101;1.803;2.074;2.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;10;335;;641;804;961;1.110;1.252;1.388;;641;804;1.107;1.803;2.073;2.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;11;300;;647;809;965;1.112;1.253;1.388;;647;809;1.110;1.801;2.068;2.324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;12;285;;637;798;953;1.099;1.240;1.374;;637;798;1.097;1.784;2.050;2.303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;13;254;;623;784;938;1.083;1.223;1.356;;623;784;1.081;1.764;2.028;2.280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;14;237;;615;774;928;1.073;1.211;1.344;;615;774;1.070;1.750;2.013;2.264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;15;214;;614;773;926;1.070;1.208;1.340;;614;773;1.068;1.745;2.006;2.256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;16;193;;615;774;926;1.070;1.207;1.339;;615;774;1.067;1.742;2.002;2.252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;17;190;;615;773;924;1.068;1.205;1.336;;615;773;1.066;1.738;1.998;2.246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;18;179;;614;772;923;1.066;1.203;1.334;;614;772;1.064;1.734;1.994;2.242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;19;193;;618;776;926;1.069;1.206;1.337;;618;776;1.067;1.737;1.996;2.243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;20;199;;621;779;929;1.072;1.209;1.340;;621;779;1.070;1.739;1.998;2.246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;21;205;;615;772;923;1.066;1.202;1.333;;615;772;1.063;1.733;1.992;2.240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;22;195;;614;772;923;1.066;1.204;1.335;;614;772;1.064;1.735;1.995;2.243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;23;168;;620;778;930;1.073;1.211;1.342;;620;778;1.071;1.744;2.005;2.253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;28;24;161;;616;775;927;1.071;1.210;1.341;;616;775;1.069;1.745;2.006;2.256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;1;157;;625;785;938;1.082;1.221;1.353;;625;785;1.080;1.758;2.021;2.271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;2;159;;620;780;933;1.079;1.218;1.351;;620;780;1.076;1.758;2.021;2.273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;3;167;;616;777;931;1.077;1.216;1.350;;616;777;1.074;1.758;2.023;2.276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;4;169;;620;781;936;1.082;1.223;1.357;;620;781;1.080;1.767;2.033;2.287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;5;172;;628;790;946;1.093;1.234;1.368;;628;790;1.090;1.781;2.047;2.302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;6;216;;630;793;949;1.097;1.239;1.374;;630;793;1.095;1.788;2.056;2.312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;7;295;;632;795;952;1.101;1.243;1.379;;632;795;1.098;1.794;2.063;2.320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;8;359;;632;796;954;1.103;1.246;1.383;;632;796;1.101;1.801;2.071;2.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;9;334;;647;812;971;1.121;1.265;1.402;;647;812;1.119;1.823;2.095;2.355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;10;297;;645;812;972;1.124;1.269;1.408;;645;812;1.121;1.832;2.107;2.369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;11;268;;638;806;967;1.120;1.266;1.406;;638;806;1.118;1.834;2.111;2.376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;12;252;;632;801;964;1.118;1.265;1.406;;632;801;1.115;1.837;2.117;2.383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;13;230;;631;802;966;1.122;1.271;1.413;;631;802;1.119;1.848;2.129;2.399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;14;215;;622;794;960;1.116;1.266;1.409;;622;794;1.114;1.847;2.131;2.402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;15;196;;608;782;948;1.105;1.256;1.400;;608;782;1.103;1.841;2.127;2.399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;16;176;;595;769;936;1.095;1.246;1.391;;595;769;1.092;1.835;2.121;2.396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;17;180;;595;770;938;1.097;1.250;1.395;;595;770;1.095;1.841;2.129;2.405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;18;172;;596;772;941;1.100;1.253;1.399;;596;772;1.098;1.846;2.136;2.412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;19;191;;592;768;937;1.097;1.250;1.396;;592;768;1.094;1.844;2.134;2.411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;20;202;;576;753;922;1.082;1.235;1.381;;576;753;1.079;1.829;2.119;2.396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;21;215;;566;742;911;1.071;1.224;1.370;;566;742;1.068;1.818;2.108;2.385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;22;210;;553;729;898;1.058;1.211;1.357;;553;729;1.055;1.805;2.094;2.371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;23;188;;541;717;885;1.045;1.198;1.344;;541;717;1.042;1.790;2.080;2.356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;29;24;180;;531;706;875;1.034;1.186;1.332;;531;706;1.031;1.778;2.067;2.343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;1;179;;518;694;861;1.021;1.173;1.318;;518;694;1.018;1.763;2.052;2.327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;2;182;;517;691;859;1.018;1.170;1.315;;517;691;1.015;1.759;2.047;2.322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;3;190;;505;680;847;1.005;1.157;1.302;;505;680;1.003;1.745;2.032;2.307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;4;191;;493;667;834;992;1.143;1.288;;493;667;989;1.730;2.017;2.290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;5;196;;494;667;834;992;1.142;1.287;;494;667;989;1.728;2.014;2.287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;6;238;;507;680;846;1.003;1.154;1.298;;507;680;1.001;1.738;2.023;2.295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;7;326;;503;675;841;997;1.148;1.291;;503;675;995;1.730;2.014;2.285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;8;391;;484;656;821;977;1.127;1.269;;484;656;975;1.707;1.990;2.260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;9;383;;479;650;815;970;1.119;1.261;;479;650;968;1.697;1.979;2.248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;10;343;;485;655;819;973;1.121;1.263;;485;655;971;1.696;1.976;2.244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;11;311;;491;660;823;977;1.124;1.265;;491;660;974;1.695;1.974;2.241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;12;302;;490;658;820;974;1.120;1.260;;490;658;971;1.689;1.967;2.232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;13;269;;487;655;816;969;1.115;1.254;;487;655;966;1.681;1.957;2.221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;14;250;;486;653;814;966;1.111;1.250;;486;653;963;1.675;1.951;2.214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;15;227;;484;651;811;963;1.108;1.246;;484;651;960;1.671;1.945;2.208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;16;205;;484;650;810;961;1.106;1.244;;484;650;959;1.667;1.942;2.203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;17;198;;484;650;809;960;1.105;1.243;;484;650;958;1.666;1.939;2.201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;18;182;;483;649;809;959;1.104;1.242;;483;649;957;1.664;1.937;2.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;19;193;;483;649;809;959;1.104;1.242;;483;649;957;1.664;1.937;2.198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;20;200;;483;649;809;959;1.104;1.242;;483;649;957;1.664;1.937;2.198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;21;210;;483;649;808;959;1.104;1.242;;483;649;957;1.664;1.937;2.198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;22;202;;483;649;809;959;1.104;1.242;;483;649;957;1.664;1.938;2.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;23;177;;483;650;809;960;1.105;1.243;;483;650;958;1.665;1.939;2.200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;30;24;170;;484;650;810;961;1.106;1.244;;484;650;959;1.667;1.941;2.203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;1;168;;484;651;811;962;1.107;1.246;;484;651;960;1.669;1.944;2.206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;2;170;;486;653;813;965;1.110;1.249;;486;653;963;1.674;1.949;2.212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;3;177;;487;655;816;968;1.114;1.253;;487;655;965;1.680;1.956;2.219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;4;178;;480;648;810;963;1.109;1.249;;480;648;960;1.677;1.954;2.219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;5;179;;467;636;798;952;1.099;1.239;;467;636;949;1.669;1.947;2.213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;6;222;;464;634;797;952;1.099;1.240;;464;634;949;1.672;1.952;2.219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;7;304;;476;647;811;966;1.114;1.256;;476;647;963;1.690;1.971;2.240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;8;369;;484;656;821;977;1.126;1.269;;484;656;974;1.706;1.989;2.260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;9;350;;491;664;830;987;1.138;1.282;;491;664;985;1.722;2.006;2.279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;10;315;;480;654;822;980;1.132;1.277;;480;654;978;1.721;2.008;2.283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;11;287;;470;646;815;975;1.128;1.274;;470;646;972;1.721;2.010;2.287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;12;275;;472;649;819;980;1.133;1.281;;472;649;977;1.731;2.022;2.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;13;250;;475;653;824;986;1.140;1.288;;475;653;983;1.741;2.035;2.315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;14;235;;476;655;827;989;1.145;1.294;;476;655;987;1.749;2.043;2.325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;15;217;;478;658;830;993;1.149;1.298;;478;658;990;1.755;2.050;2.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;16;196;;479;659;832;995;1.152;1.301;;479;659;992;1.759;2.055;2.338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;17;194;;480;660;833;996;1.153;1.303;;480;660;994;1.761;2.058;2.341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;18;180;;480;660;833;997;1.154;1.304;;480;660;995;1.762;2.059;2.343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;19;193;;480;660;833;997;1.154;1.304;;480;660;995;1.762;2.059;2.343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;20;201;;479;660;833;997;1.154;1.303;;479;660;994;1.762;2.059;2.343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;21;212;;479;660;833;996;1.153;1.303;;479;660;994;1.761;2.058;2.342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;22;206;;479;660;832;996;1.153;1.303;;479;660;994;1.761;2.057;2.341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;23;183;;479;659;832;995;1.152;1.301;;479;659;993;1.759;2.055;2.338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;31;24;178;;478;658;831;994;1.150;1.299;;478;658;991;1.756;2.052;2.335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;1;179;;478;657;829;992;1.148;1.297;;478;657;989;1.753;2.048;2.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;2;182;;476;654;826;988;1.143;1.291;;476;654;985;1.745;2.039;2.320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;3;191;;473;651;821;983;1.137;1.285;;473;651;980;1.736;2.029;2.308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;4;194;;471;647;816;977;1.130;1.277;;471;647;974;1.725;2.016;2.293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1;5;199;;474;649;817;976;1.128;1.273;;474;649;973;1.719;2.007;2.282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
